month,rep_id,region,division,product,tenure_months,monthly_target,sales_units,target_ach_pct,doctor_coverage,calls_made,new_doctors_added,avg_rx_per_doctor
2023-03,REP0003,North,Oncology,OncoPure 50mg,65,88.0,139.0,158.8,8,10,3,17.38
2023-04,REP0003,North,Oncology,OncoPure 50mg,66,88.0,154.0,175.9,14,41,2,11.0
2023-05,REP0003,North,Oncology,OncoPure 50mg,67,88.0,146.0,166.8,22,80,3,6.64
2023-06,REP0003,North,Oncology,OncoPure 50mg,68,88.0,161.0,183.9,20,67,1,8.05
2023-07,REP0003,North,Oncology,OncoPure 50mg,69,88.0,147.0,167.9,25,84,2,5.88
2023-08,REP0003,North,Oncology,OncoPure 50mg,70,88.0,117.0,133.7,20,88,0,5.85
2023-09,REP0003,North,Oncology,OncoPure 50mg,71,88.0,169.0,193.1,18,42,1,9.39
2023-10,REP0003,North,Oncology,OncoPure 50mg,72,88.0,141.0,161.1,25,93,3,5.64
2023-11,REP0003,North,Oncology,OncoPure 50mg,73,88.0,110.0,125.7,15,39,1,7.33
2023-12,REP0003,North,Oncology,OncoPure 50mg,74,88.0,127.0,145.1,18,69,0,7.06
2021-01,REP0004,East,Cardiology,BPControl 20mg,10,210.0,177.0,84.1,19,68,0,9.32
2021-02,REP0004,East,Cardiology,BPControl 20mg,11,210.0,163.0,77.5,25,88,2,6.52
2021-03,REP0004,East,Cardiology,BPControl 20mg,12,210.0,194.0,92.2,21,93,2,9.24
2021-04,REP0004,East,Cardiology,BPControl 20mg,13,210.0,198.0,94.1,17,68,1,11.65
2021-05,REP0004,East,Cardiology,BPControl 20mg,14,210.0,233.0,110.7,8,26,2,29.12
2021-06,REP0004,East,Cardiology,BPControl 20mg,15,210.0,244.0,115.9,14,36,1,17.43
2021-07,REP0004,East,Cardiology,BPControl 20mg,16,210.0,200.0,95.0,17,59,0,11.76
2021-08,REP0004,East,Cardiology,BPControl 20mg,17,210.0,225.0,106.9,17,68,0,13.24
2021-09,REP0004,East,Cardiology,BPControl 20mg,18,210.0,184.0,87.4,20,63,1,9.2
2021-10,REP0004,East,Cardiology,BPControl 20mg,19,210.0,189.0,89.8,18,57,2,10.5
2021-11,REP0004,East,Cardiology,BPControl 20mg,20,210.0,170.0,80.8,20,69,2,8.5
2021-12,REP0004,East,Cardiology,BPControl 20mg,21,210.0,215.0,102.2,13,56,0,16.54
2022-01,REP0004,East,Cardiology,BPControl 20mg,22,210.0,152.0,72.2,13,36,2,11.69
2022-02,REP0004,East,Cardiology,BPControl 20mg,23,210.0,197.0,93.6,16,54,2,12.31
2022-03,REP0004,East,Cardiology,BPControl 20mg,24,210.0,219.0,104.1,12,39,1,18.25
2022-04,REP0004,East,Cardiology,BPControl 20mg,25,210.0,227.0,107.9,14,48,2,16.21
2022-05,REP0004,East,Cardiology,BPControl 20mg,26,210.0,216.0,102.6,15,53,1,14.4
2022-06,REP0004,East,Cardiology,BPControl 20mg,27,210.0,242.0,115.0,13,42,1,18.62
2022-07,REP0004,East,Cardiology,BPControl 20mg,28,210.0,245.0,116.4,14,50,2,17.5
2022-08,REP0004,East,Cardiology,BPControl 20mg,29,210.0,251.0,119.3,13,40,0,19.31
2022-09,REP0004,East,Cardiology,BPControl 20mg,30,210.0,182.0,86.5,25,77,1,7.28
2022-10,REP0004,East,Cardiology,BPControl 20mg,31,210.0,219.0,104.1,10,41,0,21.9
2022-11,REP0004,East,Cardiology,BPControl 20mg,32,210.0,209.0,99.3,9,17,1,23.22
2022-12,REP0004,East,Cardiology,BPControl 20mg,33,210.0,202.0,96.0,17,56,3,11.88
2023-01,REP0004,East,Cardiology,BPControl 20mg,34,210.0,224.0,106.4,20,65,1,11.2
2023-02,REP0004,East,Cardiology,BPControl 20mg,35,210.0,181.0,86.0,18,49,2,10.06
2023-03,REP0004,East,Cardiology,BPControl 20mg,36,210.0,250.0,118.8,20,66,2,12.5
2023-04,REP0004,East,Cardiology,BPControl 20mg,37,210.0,258.0,122.6,24,75,2,10.75
2023-05,REP0004,East,Cardiology,BPControl 20mg,38,210.0,236.0,112.1,21,76,0,11.24
2023-06,REP0004,East,Cardiology,BPControl 20mg,39,210.0,237.0,112.6,18,51,2,13.17
2023-07,REP0004,East,Cardiology,BPControl 20mg,40,210.0,212.0,100.7,14,59,0,15.14
2023-08,REP0004,East,Cardiology,BPControl 20mg,41,210.0,243.0,115.5,10,51,1,24.3
2023-09,REP0004,East,Cardiology,BPControl 20mg,42,210.0,222.0,105.5,18,67,0,12.33
2023-10,REP0004,East,Cardiology,BPControl 20mg,43,210.0,207.0,98.4,15,38,3,13.8
2023-11,REP0004,East,Cardiology,BPControl 20mg,44,210.0,193.0,91.7,18,64,1,10.72
2023-12,REP0004,East,Cardiology,BPControl 20mg,45,210.0,227.0,107.9,17,47,1,13.35
2021-01,REP0005,East,Cardiology,BPControl 20mg,35,207.0,225.0,108.6,15,54,4,15.0
2021-02,REP0005,East,Cardiology,BPControl 20mg,36,207.0,232.0,111.9,23,86,3,10.09
2021-03,REP0005,East,Cardiology,BPControl 20mg,37,207.0,235.0,113.4,18,65,2,13.06
2021-04,REP0005,East,Cardiology,BPControl 20mg,38,207.0,244.0,117.7,18,60,2,13.56
2021-05,REP0005,East,Cardiology,BPControl 20mg,39,207.0,235.0,113.4,28,92,1,8.39
2021-06,REP0005,East,Cardiology,BPControl 20mg,40,207.0,248.0,119.6,20,68,0,12.4
2021-07,REP0005,East,Cardiology,BPControl 20mg,41,207.0,277.0,133.6,21,72,1,13.19
2021-08,REP0005,East,Cardiology,BPControl 20mg,42,207.0,298.0,143.8,19,56,3,15.68
2021-09,REP0005,East,Cardiology,BPControl 20mg,43,207.0,224.0,108.1,28,98,3,8.0
2021-10,REP0005,East,Cardiology,BPControl 20mg,44,207.0,189.0,91.2,12,52,2,15.75
2021-11,REP0005,East,Cardiology,BPControl 20mg,45,207.0,252.0,121.6,19,67,4,13.26
2021-12,REP0005,East,Cardiology,BPControl 20mg,46,207.0,231.0,111.4,17,50,0,13.59
2022-01,REP0005,East,Cardiology,BPControl 20mg,47,207.0,211.0,101.8,13,66,1,16.23
2022-02,REP0005,East,Cardiology,BPControl 20mg,48,207.0,218.0,105.2,11,36,1,19.82
2022-03,REP0005,East,Cardiology,BPControl 20mg,49,207.0,280.0,135.1,18,62,1,15.56
2022-04,REP0005,East,Cardiology,BPControl 20mg,50,207.0,278.0,134.1,16,61,3,17.38
2022-05,REP0005,East,Cardiology,BPControl 20mg,51,207.0,284.0,137.0,17,51,1,16.71
2022-06,REP0005,East,Cardiology,BPControl 20mg,52,207.0,291.0,140.4,11,45,2,26.45
2022-07,REP0005,East,Cardiology,BPControl 20mg,53,207.0,273.0,131.7,15,48,2,18.2
2022-08,REP0005,East,Cardiology,BPControl 20mg,54,207.0,263.0,126.9,15,56,2,17.53
2022-09,REP0005,East,Cardiology,BPControl 20mg,55,207.0,227.0,109.5,20,90,2,11.35
2022-10,REP0005,East,Cardiology,BPControl 20mg,56,207.0,205.0,98.9,18,48,5,11.39
2022-11,REP0005,East,Cardiology,BPControl 20mg,57,207.0,268.0,129.3,15,34,0,17.87
2022-12,REP0005,East,Cardiology,BPControl 20mg,58,207.0,221.0,106.6,10,34,1,22.1
2023-01,REP0005,East,Cardiology,BPControl 20mg,59,207.0,231.0,111.4,18,55,0,12.83
2023-02,REP0005,East,Cardiology,BPControl 20mg,60,207.0,242.0,116.8,15,59,2,16.13
2023-03,REP0005,East,Cardiology,BPControl 20mg,61,207.0,296.0,142.8,21,82,2,14.1
2023-04,REP0005,East,Cardiology,BPControl 20mg,62,207.0,278.0,134.1,24,80,2,11.58
2023-05,REP0005,East,Cardiology,BPControl 20mg,63,207.0,280.0,135.1,16,46,1,17.5
2023-06,REP0005,East,Cardiology,BPControl 20mg,64,207.0,270.0,130.3,20,78,1,13.5
2023-07,REP0005,East,Cardiology,BPControl 20mg,65,207.0,294.0,141.8,17,53,3,17.29
2023-08,REP0005,East,Cardiology,BPControl 20mg,66,207.0,293.0,141.4,10,32,0,29.3
2023-09,REP0005,East,Cardiology,BPControl 20mg,67,207.0,255.0,123.0,15,52,1,17.0
2023-10,REP0005,East,Cardiology,BPControl 20mg,68,207.0,242.0,116.8,22,81,1,11.0
2023-11,REP0005,East,Cardiology,BPControl 20mg,69,207.0,227.0,109.5,19,70,1,11.95
2023-12,REP0005,East,Cardiology,BPControl 20mg,70,207.0,230.0,111.0,25,82,4,9.2
2021-01,REP0006,West,Orthopedics,PainEase 100mg,34,207.0,249.0,120.2,17,55,4,14.65
2021-02,REP0006,West,Orthopedics,PainEase 100mg,35,207.0,206.0,99.5,9,35,1,22.89
2021-03,REP0006,West,Orthopedics,PainEase 100mg,36,207.0,229.0,110.6,20,71,1,11.45
2021-04,REP0006,West,Orthopedics,PainEase 100mg,37,207.0,238.0,114.9,21,78,1,11.33
2021-05,REP0006,West,Orthopedics,PainEase 100mg,38,207.0,319.0,154.0,13,33,1,24.54
2021-06,REP0006,West,Orthopedics,PainEase 100mg,39,207.0,282.0,136.2,18,61,2,15.67
2021-07,REP0006,West,Orthopedics,PainEase 100mg,40,207.0,252.0,121.7,23,79,3,10.96
2021-08,REP0006,West,Orthopedics,PainEase 100mg,41,207.0,277.0,133.8,19,71,2,14.58
2021-09,REP0006,West,Orthopedics,PainEase 100mg,42,207.0,269.0,129.9,23,82,2,11.7
2021-10,REP0006,West,Orthopedics,PainEase 100mg,43,207.0,239.0,115.4,23,75,4,10.39
2021-11,REP0006,West,Orthopedics,PainEase 100mg,44,207.0,230.0,111.1,12,43,1,19.17
2021-12,REP0006,West,Orthopedics,PainEase 100mg,45,207.0,243.0,117.3,15,48,0,16.2
2022-01,REP0006,West,Orthopedics,PainEase 100mg,46,207.0,224.0,108.2,8,15,2,28.0
2022-02,REP0006,West,Orthopedics,PainEase 100mg,47,207.0,261.0,126.0,19,58,1,13.74
2022-03,REP0006,West,Orthopedics,PainEase 100mg,48,207.0,262.0,126.5,13,57,3,20.15
2022-04,REP0006,West,Orthopedics,PainEase 100mg,49,207.0,274.0,132.3,18,64,0,15.22
2022-05,REP0006,West,Orthopedics,PainEase 100mg,50,207.0,285.0,137.6,15,44,1,19.0
2022-06,REP0006,West,Orthopedics,PainEase 100mg,51,207.0,339.0,163.7,20,65,2,16.95
2022-07,REP0006,West,Orthopedics,PainEase 100mg,52,207.0,326.0,157.4,21,73,1,15.52
2022-08,REP0006,West,Orthopedics,PainEase 100mg,53,207.0,299.0,144.4,19,73,2,15.74
2022-09,REP0006,West,Orthopedics,PainEase 100mg,54,207.0,290.0,140.0,15,63,2,19.33
2022-10,REP0006,West,Orthopedics,PainEase 100mg,55,207.0,295.0,142.5,15,66,2,19.67
2022-11,REP0006,West,Orthopedics,PainEase 100mg,56,207.0,229.0,110.6,16,53,2,14.31
2022-12,REP0006,West,Orthopedics,PainEase 100mg,57,207.0,249.0,120.2,15,52,4,16.6
2023-01,REP0006,West,Orthopedics,PainEase 100mg,58,207.0,278.0,134.2,19,66,2,14.63
2023-02,REP0006,West,Orthopedics,PainEase 100mg,59,207.0,269.0,129.9,13,43,0,20.69
2023-03,REP0006,West,Orthopedics,PainEase 100mg,60,207.0,283.0,136.7,20,66,3,14.15
2023-04,REP0006,West,Orthopedics,PainEase 100mg,61,207.0,263.0,127.0,12,43,3,21.92
2023-05,REP0006,West,Orthopedics,PainEase 100mg,62,207.0,346.0,167.1,16,64,1,21.62
2023-06,REP0006,West,Orthopedics,PainEase 100mg,63,207.0,306.0,147.8,21,78,0,14.57
2023-07,REP0006,West,Orthopedics,PainEase 100mg,64,207.0,343.0,165.6,23,75,2,14.91
2023-08,REP0006,West,Orthopedics,PainEase 100mg,65,207.0,308.0,148.7,19,62,1,16.21
2023-09,REP0006,West,Orthopedics,PainEase 100mg,66,207.0,280.0,135.2,22,81,1,12.73
2023-10,REP0006,West,Orthopedics,PainEase 100mg,67,207.0,281.0,135.7,6,30,0,46.83
2023-11,REP0006,West,Orthopedics,PainEase 100mg,68,207.0,246.0,118.8,13,35,3,18.92
2023-12,REP0006,West,Orthopedics,PainEase 100mg,69,207.0,240.0,115.9,19,66,2,12.63
2021-01,REP0007,North,Orthopedics,PainEase 100mg,19,82.0,89.0,108.5,10,27,2,8.9
2021-02,REP0007,North,Orthopedics,PainEase 100mg,20,82.0,116.0,141.4,12,31,0,9.67
2021-03,REP0007,North,Orthopedics,PainEase 100mg,21,82.0,92.0,112.1,22,88,2,4.18
2021-04,REP0007,North,Orthopedics,PainEase 100mg,22,82.0,108.0,131.6,25,88,3,4.32
2021-05,REP0007,North,Orthopedics,PainEase 100mg,23,82.0,112.0,136.5,18,53,2,6.22
2021-06,REP0007,North,Orthopedics,PainEase 100mg,24,82.0,121.0,147.4,14,41,3,8.64
2021-07,REP0007,North,Orthopedics,PainEase 100mg,25,82.0,137.0,166.9,17,60,2,8.06
2021-08,REP0007,North,Orthopedics,PainEase 100mg,26,82.0,115.0,140.1,11,41,0,10.45
2021-09,REP0007,North,Orthopedics,PainEase 100mg,27,82.0,102.0,124.3,20,74,1,5.1
2021-10,REP0007,North,Orthopedics,PainEase 100mg,28,82.0,98.0,119.4,15,51,1,6.53
2021-11,REP0007,North,Orthopedics,PainEase 100mg,29,82.0,103.0,125.5,15,55,2,6.87
2021-12,REP0007,North,Orthopedics,PainEase 100mg,30,82.0,98.0,119.4,16,57,2,6.12
2022-01,REP0007,North,Orthopedics,PainEase 100mg,31,82.0,105.0,128.0,25,79,1,4.2
2022-02,REP0007,North,Orthopedics,PainEase 100mg,32,82.0,90.0,109.7,21,70,2,4.29
2022-03,REP0007,North,Orthopedics,PainEase 100mg,33,82.0,105.0,128.0,16,65,2,6.56
2022-04,REP0007,North,Orthopedics,PainEase 100mg,34,82.0,117.0,142.6,21,79,1,5.57
2022-05,REP0007,North,Orthopedics,PainEase 100mg,35,82.0,109.0,132.8,14,38,3,7.79
2022-06,REP0007,North,Orthopedics,PainEase 100mg,36,82.0,139.0,169.4,24,67,3,5.79
2022-07,REP0007,North,Orthopedics,PainEase 100mg,37,82.0,146.0,177.9,22,59,4,6.64
2022-08,REP0007,North,Orthopedics,PainEase 100mg,38,82.0,120.0,146.2,17,63,0,7.06
2022-09,REP0007,North,Orthopedics,PainEase 100mg,39,82.0,113.0,137.7,24,88,2,4.71
2022-10,REP0007,North,Orthopedics,PainEase 100mg,40,82.0,108.0,131.6,13,44,0,8.31
2022-11,REP0007,North,Orthopedics,PainEase 100mg,41,82.0,111.0,135.3,9,38,3,12.33
2022-12,REP0007,North,Orthopedics,PainEase 100mg,42,82.0,111.0,135.3,18,70,1,6.17
2023-01,REP0007,North,Orthopedics,PainEase 100mg,43,82.0,93.0,113.3,24,83,0,3.88
2023-02,REP0007,North,Orthopedics,PainEase 100mg,44,82.0,104.0,126.7,16,59,4,6.5
2023-03,REP0007,North,Orthopedics,PainEase 100mg,45,82.0,121.0,147.4,18,82,3,6.72
2023-04,REP0007,North,Orthopedics,PainEase 100mg,46,82.0,126.0,153.5,16,58,1,7.88
2023-05,REP0007,North,Orthopedics,PainEase 100mg,47,82.0,130.0,158.4,23,76,2,5.65
2023-06,REP0007,North,Orthopedics,PainEase 100mg,48,82.0,141.0,171.8,15,45,1,9.4
2023-07,REP0007,North,Orthopedics,PainEase 100mg,49,82.0,125.0,152.3,22,68,2,5.68
2023-08,REP0007,North,Orthopedics,PainEase 100mg,50,82.0,151.0,184.0,19,71,3,7.95
2023-09,REP0007,North,Orthopedics,PainEase 100mg,51,82.0,114.0,138.9,13,46,2,8.77
2023-10,REP0007,North,Orthopedics,PainEase 100mg,52,82.0,97.0,118.2,19,75,0,5.11
2023-11,REP0007,North,Orthopedics,PainEase 100mg,53,82.0,111.0,135.3,21,78,2,5.29
2023-12,REP0007,North,Orthopedics,PainEase 100mg,54,82.0,103.0,125.5,13,41,1,7.92
2021-01,REP0008,North,Neurology,MindCalm 50mg,22,232.0,246.0,106.2,14,43,1,17.57
2021-02,REP0008,North,Neurology,MindCalm 50mg,23,232.0,242.0,104.5,21,69,2,11.52
2021-03,REP0008,North,Neurology,MindCalm 50mg,24,232.0,279.0,120.5,15,65,3,18.6
2021-04,REP0008,North,Neurology,MindCalm 50mg,25,232.0,262.0,113.1,10,43,1,26.2
2021-05,REP0008,North,Neurology,MindCalm 50mg,26,232.0,279.0,120.5,22,78,2,12.68
2021-06,REP0008,North,Neurology,MindCalm 50mg,27,232.0,349.0,150.7,12,28,3,29.08
2021-07,REP0008,North,Neurology,MindCalm 50mg,28,232.0,287.0,123.9,13,37,4,22.08
2021-08,REP0008,North,Neurology,MindCalm 50mg,29,232.0,325.0,140.3,21,75,1,15.48
2021-09,REP0008,North,Neurology,MindCalm 50mg,30,232.0,311.0,134.3,11,29,2,28.27
2021-10,REP0008,North,Neurology,MindCalm 50mg,31,232.0,249.0,107.5,17,58,1,14.65
2021-11,REP0008,North,Neurology,MindCalm 50mg,32,232.0,226.0,97.6,15,45,2,15.07
2021-12,REP0008,North,Neurology,MindCalm 50mg,33,232.0,266.0,114.9,19,61,2,14.0
2022-01,REP0008,North,Neurology,MindCalm 50mg,34,232.0,236.0,101.9,10,16,1,23.6
2022-02,REP0008,North,Neurology,MindCalm 50mg,35,232.0,267.0,115.3,21,68,2,12.71
2022-03,REP0008,North,Neurology,MindCalm 50mg,36,232.0,323.0,139.5,15,54,3,21.53
2022-04,REP0008,North,Neurology,MindCalm 50mg,37,232.0,291.0,125.6,18,57,0,16.17
2022-05,REP0008,North,Neurology,MindCalm 50mg,38,232.0,296.0,127.8,13,45,0,22.77
2022-06,REP0008,North,Neurology,MindCalm 50mg,39,232.0,329.0,142.1,21,77,1,15.67
